feature,importance
complex character,1.1058862159352145e-16
fascinating and relevant,1.1058862159352145e-16
enthusiasts,1.1058862159352145e-16
complex character study,1.1058862159352145e-16
tricks,1.1058862159352145e-16
dirty tricks,1.1058862159352145e-16
study rather,1.1058862159352145e-16
study rather than,1.1058862159352145e-16
and relevant,1.1058862159352145e-16
character study rather,1.1058862159352145e-16
about lee atwater,1.1058862159352145e-16
about lee,1.1058862159352145e-16
documentary about lee,1.1058862159352145e-16
for political,1.1058862159352145e-16
watch for political,1.1058862159352145e-16
man is documentary,1.1058862159352145e-16
an,1.1015494072452725e-16
the performance of,1.0972125985553305e-16
the performance,1.0972125985553305e-16
performance of,1.0972125985553305e-16
to its potential,1.0972125985553305e-16
is highly commended,1.0972125985553305e-16
highly commended,1.0972125985553305e-16
with clear,1.0950441942103595e-16
jazz,1.0928757898653885e-16
is documentary about,1.0928757898653885e-16
documentary about,1.0928757898653885e-16
and is,1.0928757898653885e-16
drama,1.0928757898653885e-16
witty,1.0842021724855044e-16
is worth,1.0842021724855044e-16
various reviews and,1.0842021724855044e-16
various reviews,1.0842021724855044e-16
contains various reviews,1.0842021724855044e-16
thoughtful,1.0798653637955624e-16
opinions and reviews,1.0755285551056204e-16
seen as both,1.0717338475019211e-16
as both strength,1.0717338475019211e-16
weakness,1.0717338475019211e-16
as both,1.0717338475019211e-16
and weakness some,1.0717338475019211e-16
both strength and,1.0717338475019211e-16
both strength,1.0717338475019211e-16
strength and,1.0717338475019211e-16
strength and weakness,1.0717338475019211e-16
and weakness,1.0717338475019211e-16
weakness some,1.0717338475019211e-16
these themes,1.0711917464156784e-16
these,1.0711917464156784e-16
of these,1.0711917464156784e-16
unique storytelling,1.0711917464156784e-16
of these themes,1.0711917464156784e-16
film unique storytelling,1.0711917464156784e-16
contemporary,1.0701075442431929e-16
shot however some,1.0690233420707074e-16
with too many,1.0690233420707074e-16
narrative to be,1.0690233420707074e-16
shot however,1.0690233420707074e-16
secret sunshine,1.0690233420707074e-16
nuanced approach to,1.0690233420707074e-16
nuanced approach,1.0690233420707074e-16
narrative to,1.0690233420707074e-16
